cod;nome;ano;valor;;
35;SP;2001;234;;
12;AC;2001;7;;
27;AL;2001;9;;
13;AM;2001;13;;
16;AP;2001;1;;
17;TO;2001;16;;
43;RS;2001;216;;
14;RR;2001;2;;
21;MA;2001;10;;
53;DF;2002;18;;
43;RS;2002;241;;
14;RR;2002;5;;
11;RO;2002;7;;
24;RN;2002;12;;
24;RN;2002;12;;
33;RJ;2002;58;;
41;PR;2002;90;;
22;PI;2002;16;;
26;PE;2002;41;;
25;PB;2002;12;;
15;PA;2002;11;;
51;MT;2002;29;;
50;MS;2002;32;;
31;MG;2002;107;;
21;MA;2002;14;;
33;RJ;2002;58;;
12;AC;2002;6;;
27;AL;2002;6;;
13;AM;2002;9;;
16;AP;2002;2;;
29;BA;2002;22;;
17;TO;2002;8;;
35;SP;2002;236;;
28;SE;2002;14;;
42;SC;2002;58;;
43;RS;2002;241;;
14;RR;2002;5;;
11;RO;2002;7;;
52;GO;2002;84;;
32;ES;2002;15;;
42;SC;2002;58;;
23;CE;2002;43;;
29;BA;2002;22;;
16;AP;2002;2;;
13;AM;2002;9;;
27;AL;2002;6;;
12;AC;2002;6;;
23;CE;2002;43;;
53;DF;2002;18;;
32;ES;2002;15;;
52;GO;2002;84;;
21;MA;2002;14;;
31;MG;2002;107;;
50;MS;2002;32;;
51;MT;2002;29;;
15;PA;2002;11;;
25;PB;2002;12;;
26;PE;2002;41;;
22;PI;2002;16;;
17;TO;2002;8;;
35;SP;2002;236;;
41;PR;2002;90;;
28;SE;2002;14;;
53;DF;2003;15;;
12;AC;2003;6;;
27;AL;2003;2;;
13;AM;2003;10;;
16;AP;2003;4;;
29;BA;2003;28;;
23;CE;2003;34;;
53;DF;2003;15;;
32;ES;2003;21;;
52;GO;2003;64;;
21;MA;2003;8;;
31;MG;2003;121;;
50;MS;2003;34;;
51;MT;2003;42;;
15;PA;2003;15;;
25;PB;2003;9;;
26;PE;2003;30;;
22;PI;2003;16;;
41;PR;2003;95;;
33;RJ;2003;61;;
24;RN;2003;18;;
11;RO;2003;3;;
14;RR;2003;2;;
43;RS;2003;251;;
42;SC;2003;56;;
28;SE;2003;11;;
35;SP;2003;213;;
17;TO;2003;16;;
17;TO;2003;16;;
35;SP;2003;213;;
28;SE;2003;11;;
42;SC;2003;56;;
43;RS;2003;251;;
14;RR;2003;2;;
11;RO;2003;3;;
24;RN;2003;18;;
33;RJ;2003;61;;
41;PR;2003;95;;
22;PI;2003;16;;
26;PE;2003;30;;
25;PB;2003;9;;
15;PA;2003;15;;
51;MT;2003;42;;
50;MS;2003;34;;
31;MG;2003;121;;
21;MA;2003;8;;
52;GO;2003;64;;
32;ES;2003;21;;
23;CE;2003;34;;
29;BA;2003;28;;
16;AP;2003;4;;
13;AM;2003;10;;
27;AL;2003;2;;
12;AC;2003;6;;
16;AP;2004;2;;
29;BA;2004;35;;
23;CE;2004;29;;
53;DF;2004;14;;
32;ES;2004;15;;
52;GO;2004;44;;
21;MA;2004;6;;
31;MG;2004;119;;
50;MS;2004;19;;
51;MT;2004;22;;
15;PA;2004;15;;
25;PB;2004;13;;
26;PE;2004;34;;
22;PI;2004;22;;
41;PR;2004;104;;
33;RJ;2004;54;;
24;RN;2004;19;;
11;RO;2004;11;;
14;RR;2004;6;;
43;RS;2004;226;;
42;SC;2004;50;;
28;SE;2004;4;;
35;SP;2004;196;;
17;TO;2004;6;;
17;TO;2004;6;;
28;SE;2004;4;;
35;SP;2004;196;;
12;AC;2004;7;;
27;AL;2004;9;;
13;AM;2004;16;;
16;AP;2004;2;;
29;BA;2004;35;;
23;CE;2004;29;;
53;DF;2004;14;;
32;ES;2004;15;;
52;GO;2004;44;;
21;MA;2004;6;;
31;MG;2004;119;;
50;MS;2004;19;;
51;MT;2004;22;;
15;PA;2004;15;;
25;PB;2004;13;;
26;PE;2004;34;;
22;PI;2004;22;;
41;PR;2004;104;;
33;RJ;2004;54;;
24;RN;2004;19;;
11;RO;2004;11;;
14;RR;2004;6;;
43;RS;2004;226;;
42;SC;2004;50;;
12;AC;2004;7;;
27;AL;2004;9;;
13;AM;2004;16;;
15;PA;2005;14;;
26;PE;2005;31;;
22;PI;2005;10;;
41;PR;2005;95;;
33;RJ;2005;57;;
24;RN;2005;19;;
11;RO;2005;13;;
14;RR;2005;5;;
43;RS;2005;209;;
42;SC;2005;46;;
28;SE;2005;4;;
35;SP;2005;209;;
17;TO;2005;9;;
23;CE;2005;40;;
41;PR;2005;95;;
33;RJ;2005;57;;
24;RN;2005;19;;
11;RO;2005;13;;
14;RR;2005;5;;
43;RS;2005;209;;
42;SC;2005;46;;
28;SE;2005;4;;
35;SP;2005;209;;
17;TO;2005;9;;
12;AC;2005;7;;
27;AL;2005;5;;
13;AM;2005;12;;
16;AP;2005;1;;
29;BA;2005;39;;
23;CE;2005;40;;
53;DF;2005;16;;
32;ES;2005;25;;
52;GO;2005;43;;
21;MA;2005;19;;
31;MG;2005;102;;
50;MS;2005;30;;
51;MT;2005;25;;
15;PA;2005;14;;
25;PB;2005;15;;
26;PE;2005;31;;
22;PI;2005;10;;
12;AC;2005;7;;
27;AL;2005;5;;
13;AM;2005;12;;
16;AP;2005;1;;
29;BA;2005;39;;
53;DF;2005;16;;
32;ES;2005;25;;
52;GO;2005;43;;
21;MA;2005;19;;
31;MG;2005;102;;
50;MS;2005;30;;
51;MT;2005;25;;
25;PB;2005;15;;
12;AC;2006;2;;
29;BA;2006;27;;
23;CE;2006;28;;
53;DF;2006;10;;
32;ES;2006;15;;
52;GO;2006;29;;
21;MA;2006;23;;
31;MG;2006;93;;
50;MS;2006;29;;
51;MT;2006;27;;
15;PA;2006;17;;
25;PB;2006;9;;
26;PE;2006;31;;
22;PI;2006;19;;
41;PR;2006;71;;
33;RJ;2006;49;;
24;RN;2006;34;;
11;RO;2006;8;;
14;RR;2006;1;;
43;RS;2006;200;;
42;SC;2006;39;;
28;SE;2006;5;;
35;SP;2006;211;;
17;TO;2006;11;;
12;AC;2006;2;;
27;AL;2006;6;;
13;AM;2006;7;;
16;AP;2006;2;;
17;TO;2006;11;;
35;SP;2006;211;;
28;SE;2006;5;;
42;SC;2006;39;;
43;RS;2006;200;;
14;RR;2006;1;;
11;RO;2006;8;;
24;RN;2006;34;;
33;RJ;2006;49;;
41;PR;2006;71;;
22;PI;2006;19;;
26;PE;2006;31;;
25;PB;2006;9;;
15;PA;2006;17;;
51;MT;2006;27;;
50;MS;2006;29;;
31;MG;2006;93;;
21;MA;2006;23;;
52;GO;2006;29;;
32;ES;2006;15;;
53;DF;2006;10;;
23;CE;2006;28;;
29;BA;2006;27;;
16;AP;2006;2;;
13;AM;2006;7;;
27;AL;2006;6;;
35;SP;2007;196;;
17;TO;2007;9;;
21;MA;2007;32;;
31;MG;2007;96;;
50;MS;2007;17;;
51;MT;2007;27;;
15;PA;2007;34;;
12;AC;2007;5;;
27;AL;2007;7;;
13;AM;2007;4;;
16;AP;2007;4;;
29;BA;2007;36;;
23;CE;2007;29;;
53;DF;2007;13;;
32;ES;2007;10;;
25;PB;2007;12;;
26;PE;2007;31;;
22;PI;2007;26;;
41;PR;2007;84;;
33;RJ;2007;25;;
24;RN;2007;10;;
11;RO;2007;7;;
14;RR;2007;3;;
43;RS;2007;194;;
42;SC;2007;45;;
28;SE;2007;10;;
35;SP;2007;196;;
17;TO;2007;9;;
12;AC;2007;5;;
27;AL;2007;7;;
13;AM;2007;4;;
16;AP;2007;4;;
29;BA;2007;36;;
23;CE;2007;29;;
53;DF;2007;13;;
32;ES;2007;10;;
52;GO;2007;39;;
21;MA;2007;32;;
31;MG;2007;96;;
50;MS;2007;17;;
51;MT;2007;27;;
15;PA;2007;34;;
25;PB;2007;12;;
26;PE;2007;31;;
22;PI;2007;26;;
41;PR;2007;84;;
33;RJ;2007;25;;
24;RN;2007;10;;
11;RO;2007;7;;
52;GO;2007;39;;
14;RR;2007;3;;
43;RS;2007;194;;
42;SC;2007;45;;
28;SE;2007;10;;
51;MT;2008;26;;
42;SC;2008;53;;
17;TO;2008;15;;
35;SP;2008;193;;
28;SE;2008;6;;
42;SC;2008;53;;
43;RS;2008;181;;
14;RR;2008;4;;
11;RO;2008;8;;
24;RN;2008;15;;
33;RJ;2008;43;;
41;PR;2008;61;;
22;PI;2008;20;;
26;PE;2008;29;;
25;PB;2008;22;;
15;PA;2008;33;;
51;MT;2008;26;;
50;MS;2008;26;;
31;MG;2008;86;;
21;MA;2008;33;;
52;GO;2008;43;;
32;ES;2008;13;;
53;DF;2008;12;;
23;CE;2008;28;;
29;BA;2008;28;;
16;AP;2008;2;;
13;AM;2008;13;;
27;AL;2008;10;;
12;AC;2008;4;;
29;BA;2008;28;;
16;AP;2008;2;;
13;AM;2008;13;;
27;AL;2008;10;;
12;AC;2008;4;;
17;TO;2008;15;;
35;SP;2008;193;;
28;SE;2008;6;;
