cod;nome;ano;valor;;;;;;;;;;
14;RR;2019;234;;;;;;;;;;
29;BA;2018;6787;;;;;;;;;;
33;RJ;2018;6455;;;;;;;;;;
23;CE;2018;4900;;;;;;;;;;
15;PA;2018;4528;;;;;;;;;;
26;PE;2018;4190;;;;;;;;;;
35;SP;2018;3727;;;;;;;;;;
31;MG;2018;3372;;;;;;;;;;
43;RS;2018;2699;;;;;;;;;;
52;GO;2018;2675;;;;;;;;;;
41;PR;2018;2443;;;;;;;;;;
21;MA;2018;1982;;;;;;;;;;
24;RN;2018;1825;;;;;;;;;;
13;AM;2018;1542;;;;;;;;;;
27;AL;2018;1441;;;;;;;;;;
25;PB;2018;1244;;;;;;;;;;
32;ES;2018;1165;;;;;;;;;;
28;SE;2018;1133;;;;;;;;;;
51;MT;2018;989;;;;;;;;;;
42;SC;2018;843;;;;;;;;;;
22;PI;2018;619;;;;;;;;;;
50;MS;2018;572;;;;;;;;;;
17;TO;2018;570;;;;;;;;;;
53;DF;2018;530;;;;;;;;;;
11;RO;2018;476;;;;;;;;;;
16;AP;2018;426;;;;;;;;;;
14;RR;2018;414;;;;;;;;;;
12;AC;2018;409;;;;;;;;;;
29;BA;2017;7487;;;;;;;;;;
33;RJ;2017;6416;;;;;;;;;;
23;CE;2017;5433;;;;;;;;;;
26;PE;2017;5419;;;;;;;;;;
35;SP;2017;4631;;;;;;;;;;
15;PA;2017;4575;;;;;;;;;;
31;MG;2017;4299;;;;;;;;;;
43;RS;2017;3316;;;;;;;;;;
52;GO;2017;2901;;;;;;;;;;
41;PR;2017;2759;;;;;;;;;;
24;RN;2017;2203;;;;;;;;;;
21;MA;2017;2180;;;;;;;;;;
27;AL;2017;1813;;;;;;;;;;
13;AM;2017;1674;;;;;;;;;;
32;ES;2017;1521;;;;;;;;;;
25;PB;2017;1341;;;;;;;;;;
28;SE;2017;1313;;;;;;;;;;
51;MT;2017;1102;;;;;;;;;;
42;SC;2017;1066;;;;;;;;;;
50;MS;2017;659;;;;;;;;;;
22;PI;2017;626;;;;;;;;;;
53;DF;2017;610;;;;;;;;;;
17;TO;2017;557;;;;;;;;;;
11;RO;2017;554;;;;;;;;;;
12;AC;2017;516;;;;;;;;;;
16;AP;2017;383;;;;;;;;;;
14;RR;2017;248;;;;;;;;;;
29;BA;2016;7171;;;;;;;;;;
33;RJ;2016;6053;;;;;;;;;;
35;SP;2016;4870;;;;;;;;;;
31;MG;2016;4622;;;;;;;;;;
26;PE;2016;4447;;;;;;;;;;
15;PA;2016;4223;;;;;;;;;;
23;CE;2016;3642;;;;;;;;;;
43;RS;2016;3225;;;;;;;;;;
41;PR;2016;3080;;;;;;;;;;
52;GO;2016;3036;;;;;;;;;;
21;MA;2016;2408;;;;;;;;;;
24;RN;2016;1854;;;;;;;;;;
27;AL;2016;1820;;;;;;;;;;
28;SE;2016;1465;;;;;;;;;;
13;AM;2016;1452;;;;;;;;;;
25;PB;2016;1355;;;;;;;;;;
32;ES;2016;1270;;;;;;;;;;
51;MT;2016;1180;;;;;;;;;;
42;SC;2016;984;;;;;;;;;;
53;DF;2016;760;;;;;;;;;;
11;RO;2016;703;;;;;;;;;;
22;PI;2016;701;;;;;;;;;;
50;MS;2016;671;;;;;;;;;;
17;TO;2016;577;;;;;;;;;;
16;AP;2016;381;;;;;;;;;;
12;AC;2016;363;;;;;;;;;;
14;RR;2016;204;;;;;;;;;;
29;BA;2015;6012;;;;;;;;;;
35;SP;2015;5427;;;;;;;;;;
33;RJ;2015;5067;;;;;;;;;;
31;MG;2015;4532;;;;;;;;;;
23;CE;2015;4163;;;;;;;;;;
26;PE;2015;3847;;;;;;;;;;
