cod;nome;ano;valor;;;
43;RS;2000;272;;;
42;SC;2000;56;;;
13;AM;2000;482;;;
27;AL;2000;533;;;
12;AC;2000;51;;;
17;TO;2000;113;;;
35;SP;2000;6407;;;
28;SE;2000;186;;;
42;SC;2000;56;;;
43;RS;2000;272;;;
14;RR;2000;101;;;
11;RO;2000;252;;;
24;RN;2000;171;;;
33;RJ;2000;4271;;;
41;PR;2000;353;;;
22;PI;2000;147;;;
26;PE;2000;3205;;;
25;PB;2000;383;;;
15;PA;2000;658;;;
51;MT;2000;608;;;
50;MS;2000;303;;;
31;MG;2000;1251;;;
21;MA;2000;254;;;
52;GO;2000;526;;;
32;ES;2000;673;;;
53;DF;2000;565;;;
23;CE;2000;708;;;
29;BA;2000;892;;;
29;BA;2001;1211;;;
13;AM;2001;416;;;
27;AL;2001;589;;;
12;AC;2001;70;;;
17;TO;2001;140;;;
35;SP;2001;6475;;;
28;SE;2001;271;;;
42;SC;2001;68;;;
43;RS;2001;317;;;
14;RR;2001;82;;;
11;RO;2001;310;;;
24;RN;2001;221;;;
33;RJ;2001;4309;;;
41;PR;2001;358;;;
22;PI;2001;179;;;
26;PE;2001;3647;;;
25;PB;2001;329;;;
15;PA;2001;799;;;
51;MT;2001;629;;;
52;GO;2001;667;;;
32;ES;2001;738;;;
53;DF;2001;583;;;
23;CE;2001;696;;;
29;BA;2001;1211;;;
16;AP;2001;164;;;
13;AM;2001;416;;;
27;AL;2001;589;;;
12;AC;2001;70;;;
31;MG;2001;1423;;;
21;MA;2001;439;;;
50;MS;2001;308;;;
17;TO;2001;140;;;
35;SP;2001;6475;;;
28;SE;2001;271;;;
42;SC;2001;68;;;
43;RS;2001;317;;;
14;RR;2001;82;;;
11;RO;2001;310;;;
24;RN;2001;221;;;
33;RJ;2001;4309;;;
41;PR;2001;358;;;
22;PI;2001;179;;;
26;PE;2001;3647;;;
25;PB;2001;329;;;
15;PA;2001;799;;;
51;MT;2001;629;;;
50;MS;2001;308;;;
31;MG;2001;1423;;;
21;MA;2001;439;;;
52;GO;2001;667;;;
32;ES;2001;738;;;
53;DF;2001;583;;;
23;CE;2001;696;;;
16;AP;2001;164;;;
15;PA;2002;1036;;;
12;AC;2002;100;;;
27;AL;2002;655;;;
13;AM;2002;442;;;
16;AP;2002;157;;;
29;BA;2002;1298;;;
23;CE;2002;705;;;
53;DF;2002;539;;;
32;ES;2002;813;;;
52;GO;2002;734;;;
21;MA;2002;493;;;
31;MG;2002;1927;;;
50;MS;2002;333;;;
51;MT;2002;602;;;
25;PB;2002;432;;;
26;PE;2002;3574;;;
22;PI;2002;232;;;
41;PR;2002;413;;;
33;RJ;2002;4923;;;
24;RN;2002;213;;;
11;RO;2002;376;;;
14;RR;2002;92;;;
43;RS;2002;322;;;
42;SC;2002;84;;;
28;SE;2002;384;;;
35;SP;2002;6006;;;
17;TO;2002;126;;;
17;TO;2002;126;;;
35;SP;2002;6006;;;
28;SE;2002;384;;;
42;SC;2002;84;;;
43;RS;2002;322;;;
14;RR;2002;92;;;
11;RO;2002;376;;;
24;RN;2002;213;;;
33;RJ;2002;4923;;;
41;PR;2002;413;;;
22;PI;2002;232;;;
26;PE;2002;3574;;;
25;PB;2002;432;;;
15;PA;2002;1036;;;
51;MT;2002;602;;;
50;MS;2002;333;;;
31;MG;2002;1927;;;
21;MA;2002;493;;;
52;GO;2002;734;;;
32;ES;2002;813;;;
53;DF;2002;539;;;
23;CE;2002;705;;;
29;BA;2002;1298;;;
16;AP;2002;157;;;
13;AM;2002;442;;;
27;AL;2002;655;;;
12;AC;2002;100;;;
16;AP;2003;171;;;
27;AL;2003;630;;;
12;AC;2003;98;;;
27;AL;2003;630;;;
16;AP;2003;171;;;
29;BA;2003;1665;;;
23;CE;2003;748;;;
53;DF;2003;623;;;
32;ES;2003;883;;;
52;GO;2003;784;;;
21;MA;2003;657;;;
31;MG;2003;2539;;;
50;MS;2003;382;;;
51;MT;2003;597;;;
15;PA;2003;1237;;;
25;PB;2003;484;;;
26;PE;2003;3562;;;
41;PR;2003;412;;;
33;RJ;2003;4948;;;
24;RN;2003;277;;;
11;RO;2003;375;;;
14;RR;2003;80;;;
43;RS;2003;354;;;
42;SC;2003;101;;;
28;SE;2003;278;;;
35;SP;2003;5839;;;
17;TO;2003;161;;;
22;PI;2003;241;;;
12;AC;2003;98;;;
13;AM;2003;495;;;
17;TO;2003;161;;;
35;SP;2003;5839;;;
28;SE;2003;278;;;
42;SC;2003;101;;;
43;RS;2003;354;;;
14;RR;2003;80;;;
11;RO;2003;375;;;
24;RN;2003;277;;;
33;RJ;2003;4948;;;
41;PR;2003;412;;;
22;PI;2003;241;;;
26;PE;2003;3562;;;
25;PB;2003;484;;;
15;PA;2003;1237;;;
51;MT;2003;597;;;
50;MS;2003;382;;;
31;MG;2003;2539;;;
21;MA;2003;657;;;
52;GO;2003;784;;;
32;ES;2003;883;;;
53;DF;2003;623;;;
23;CE;2003;748;;;
29;BA;2003;1665;;;
13;AM;2003;495;;;
14;RR;2004;66;;;
11;RO;2004;372;;;
24;RN;2004;246;;;
16;AP;2004;160;;;
29;BA;2004;1859;;;
23;CE;2004;699;;;
53;DF;2004;582;;;
32;ES;2004;928;;;
52;GO;2004;896;;;
21;MA;2004;631;;;
31;MG;2004;2916;;;
50;MS;2004;372;;;
51;MT;2004;572;;;
15;PA;2004;1351;;;
25;PB;2004;540;;;
26;PE;2004;3430;;;
22;PI;2004;251;;;
41;PR;2004;537;;;
33;RJ;2004;4787;;;
24;RN;2004;246;;;
11;RO;2004;372;;;
14;RR;2004;66;;;
43;RS;2004;384;;;
42;SC;2004;99;;;
28;SE;2004;270;;;
35;SP;2004;4720;;;
17;TO;2004;149;;;
50;MS;2004;372;;;
31;MG;2004;2916;;;
21;MA;2004;631;;;
52;GO;2004;896;;;
32;ES;2004;928;;;
53;DF;2004;582;;;
33;RJ;2004;4787;;;
23;CE;2004;699;;;
29;BA;2004;1859;;;
41;PR;2004;537;;;
22;PI;2004;251;;;
26;PE;2004;3430;;;
25;PB;2004;540;;;
15;PA;2004;1351;;;
51;MT;2004;572;;;
12;AC;2004;80;;;
16;AP;2004;160;;;
13;AM;2004;440;;;
12;AC;2004;80;;;
27;AL;2004;708;;;
13;AM;2004;440;;;
27;AL;2004;708;;;
17;TO;2004;149;;;
35;SP;2004;4720;;;
28;SE;2004;270;;;
42;SC;2004;99;;;
43;RS;2004;384;;;
41;PR;2005;639;;;
17;TO;2005;148;;;
28;SE;2005;345;;;
42;SC;2005;94;;;
43;RS;2005;407;;;
14;RR;2005;73;;;
11;RO;2005;391;;;
24;RN;2005;275;;;
33;RJ;2005;4658;;;
22;PI;2005;295;;;
26;PE;2005;3517;;;
25;PB;2005;608;;;
15;PA;2005;1726;;;
51;MT;2005;631;;;
50;MS;2005;347;;;
31;MG;2005;2870;;;
21;MA;2005;774;;;
52;GO;2005;1003;;;
53;DF;2005;551;;;
23;CE;2005;760;;;
29;BA;2005;2380;;;
16;AP;2005;172;;;
13;AM;2005;506;;;
12;AC;2005;87;;;
35;SP;2005;3734;;;
32;ES;2005;1014;;;
27;AL;2005;812;;;
17;TO;2005;148;;;
35;SP;2005;3734;;;
28;SE;2005;345;;;
42;SC;2005;94;;;
43;RS;2005;407;;;
14;RR;2005;73;;;
11;RO;2005;391;;;
24;RN;2005;275;;;
33;RJ;2005;4658;;;
41;PR;2005;639;;;
22;PI;2005;295;;;
26;PE;2005;3517;;;
25;PB;2005;608;;;
15;PA;2005;1726;;;
51;MT;2005;631;;;
50;MS;2005;347;;;
31;MG;2005;2870;;;
21;MA;2005;774;;;
52;GO;2005;1003;;;
32;ES;2005;1014;;;
53;DF;2005;551;;;
23;CE;2005;760;;;
29;BA;2005;2380;;;
16;AP;2005;172;;;
13;AM;2005;506;;;
27;AL;2005;812;;;
12;AC;2005;87;;;
13;AM;2006;584;;;
17;TO;2006;189;;;
35;SP;2006;3364;;;
28;SE;2006;406;;;
42;SC;2006;93;;;
43;RS;2006;381;;;
14;RR;2006;67;;;
11;RO;2006;418;;;
24;RN;2006;318;;;
33;RJ;2006;4611;;;
41;PR;2006;522;;;
22;PI;2006;357;;;
26;PE;2006;3893;;;
25;PB;2006;697;;;
15;PA;2006;1867;;;
51;MT;2006;647;;;
50;MS;2006;366;;;
31;MG;2006;2759;;;
21;MA;2006;811;;;
52;GO;2006;1076;;;
32;ES;2006;1111;;;
53;DF;2006;576;;;
23;CE;2006;972;;;
29;BA;2006;2821;;;
16;AP;2006;186;;;
27;AL;2006;1078;;;
12;AC;2006;102;;;
11;RO;2006;418;;;
14;RR;2006;67;;;
43;RS;2006;381;;;
42;SC;2006;93;;;
28;SE;2006;406;;;
35;SP;2006;3364;;;
17;TO;2006;189;;;
12;AC;2006;102;;;
27;AL;2006;1078;;;
13;AM;2006;584;;;
16;AP;2006;186;;;
29;BA;2006;2821;;;
23;CE;2006;972;;;
53;DF;2006;576;;;
32;ES;2006;1111;;;
52;GO;2006;1076;;;
21;MA;2006;811;;;
31;MG;2006;2759;;;
50;MS;2006;366;;;
51;MT;2006;647;;;
15;PA;2006;1867;;;
25;PB;2006;697;;;
33;RJ;2006;4611;;;
24;RN;2006;318;;;
41;PR;2006;522;;;
22;PI;2006;357;;;
26;PE;2006;3893;;;
52;GO;2007;1052;;;
12;AC;2007;91;;;
32;ES;2007;1197;;;
53;DF;2007;591;;;
23;CE;2007;1367;;;
16;AP;2007;140;;;
29;BA;2007;3116;;;
17;TO;2007;191;;;
35;SP;2007;2602;;;
28;SE;2007;371;;;
42;SC;2007;94;;;
43;RS;2007;440;;;
14;RR;2007;85;;;
11;RO;2007;305;;;
24;RN;2007;424;;;
33;RJ;2007;4169;;;
41;PR;2007;617;;;
22;PI;2007;310;;;
26;PE;2007;4032;;;
25;PB;2007;759;;;
15;PA;2007;1953;;;
51;MT;2007;615;;;
50;MS;2007;369;;;
31;MG;2007;2776;;;
21;MA;2007;962;;;
52;GO;2007;1052;;;
27;AL;2007;1247;;;
32;ES;2007;1197;;;
17;TO;2007;191;;;
29;BA;2007;3116;;;
16;AP;2007;140;;;
13;AM;2007;648;;;
35;SP;2007;2602;;;
28;SE;2007;371;;;
42;SC;2007;94;;;
43;RS;2007;440;;;
12;AC;2007;91;;;
27;AL;2007;1247;;;
13;AM;2007;648;;;
23;CE;2007;1367;;;
53;DF;2007;591;;;
14;RR;2007;85;;;
11;RO;2007;305;;;
24;RN;2007;424;;;
33;RJ;2007;4169;;;
41;PR;2007;617;;;
22;PI;2007;310;;;
26;PE;2007;4032;;;
25;PB;2007;759;;;
15;PA;2007;1953;;;
51;MT;2007;615;;;
50;MS;2007;369;;;
31;MG;2007;2776;;;
21;MA;2007;962;;;
17;TO;2008;194;;;
42;SC;2008;108;;;
41;PR;2008;695;;;
12;AC;2008;74;;;
27;AL;2008;1536;;;
13;AM;2008;767;;;
16;AP;2008;196;;;
29;BA;2008;4137;;;
23;CE;2008;1377;;;
53;DF;2008;701;;;
32;ES;2008;1252;;;
17;TO;2008;194;;;
35;SP;2008;2464;;;
28;SE;2008;404;;;
43;RS;2008;471;;;
14;RR;2008;74;;;
11;RO;2008;319;;;
24;RN;2008;558;;;
33;RJ;2008;3593;;;
22;PI;2008;299;;;
26;PE;2008;3888;;;
25;PB;2008;928;;;
15;PA;2008;2585;;;
51;MT;2008;687;;;
50;MS;2008;361;;;
31;MG;2008;2628;;;
21;MA;2008;1097;;;
52;GO;2008;1309;;;
12;AC;2008;74;;;
27;AL;2008;1536;;;
13;AM;2008;767;;;
16;AP;2008;196;;;
29;BA;2008;4137;;;
23;CE;2008;1377;;;
53;DF;2008;701;;;
32;ES;2008;1252;;;
52;GO;2008;1309;;;
21;MA;2008;1097;;;
31;MG;2008;2628;;;
50;MS;2008;361;;;
51;MT;2008;687;;;
15;PA;2008;2585;;;
25;PB;2008;928;;;
26;PE;2008;3888;;;
22;PI;2008;299;;;
41;PR;2008;695;;;
33;RJ;2008;3593;;;
24;RN;2008;558;;;
11;RO;2008;319;;;
14;RR;2008;74;;;
43;RS;2008;471;;;
42;SC;2008;108;;;
28;SE;2008;404;;;
35;SP;2008;2464;;;
23;CE;2009;1360;;;
17;TO;2009;231;;;
35;SP;2009;2618;;;
28;SE;2009;475;;;
42;SC;2009;115;;;
43;RS;2009;445;;;
14;RR;2009;78;;;
11;RO;2009;373;;;
24;RN;2009;612;;;
33;RJ;2009;3430;;;
41;PR;2009;677;;;
27;AL;2009;1595;;;
12;AC;2009;103;;;
22;PI;2009;318;;;
26;PE;2009;3460;;;
25;PB;2009;1153;;;
15;PA;2009;2711;;;
51;MT;2009;738;;;
50;MS;2009;399;;;
31;MG;2009;2507;;;
29;BA;2009;4741;;;
16;AP;2009;168;;;
13;AM;2009;846;;;
27;AL;2009;1595;;;
12;AC;2009;103;;;
13;AM;2009;846;;;
16;AP;2009;168;;;
51;MT;2009;738;;;
15;PA;2009;2711;;;
25;PB;2009;1153;;;
26;PE;2009;3460;;;
22;PI;2009;318;;;
41;PR;2009;677;;;
29;BA;2009;4741;;;
23;CE;2009;1360;;;
53;DF;2009;753;;;
32;ES;2009;1367;;;
52;GO;2009;1446;;;
21;MA;2009;1210;;;
31;MG;2009;2507;;;
21;MA;2009;1210;;;
50;MS;2009;399;;;
52;GO;2009;1446;;;
32;ES;2009;1367;;;
53;DF;2009;753;;;
17;TO;2009;231;;;
35;SP;2009;2618;;;
28;SE;2009;475;;;
42;SC;2009;115;;;
43;RS;2009;445;;;
14;RR;2009;78;;;
11;RO;2009;373;;;
24;RN;2009;612;;;
33;RJ;2009;3430;;;
29;BA;2010;5145;;;
52;GO;2010;1533;;;
14;RR;2010;102;;;
17;TO;2010;280;;;
35;SP;2010;2442;;;
28;SE;2010;569;;;
42;SC;2010;129;;;
43;RS;2010;436;;;
14;RR;2010;102;;;
11;RO;2010;388;;;
24;RN;2010;633;;;
33;RJ;2010;3684;;;
41;PR;2010;670;;;
22;PI;2010;327;;;
26;PE;2010;3000;;;
25;PB;2010;1325;;;
15;PA;2010;3198;;;
51;MT;2010;722;;;
50;MS;2010;374;;;
31;MG;2010;2515;;;
21;MA;2010;1341;;;
52;GO;2010;1533;;;
32;ES;2010;1299;;;
53;DF;2010;680;;;
23;CE;2010;1711;;;
29;BA;2010;5145;;;
16;AP;2010;205;;;
13;AM;2010;980;;;
27;AL;2010;1696;;;
12;AC;2010;96;;;
17;TO;2010;280;;;
35;SP;2010;2442;;;
28;SE;2010;569;;;
42;SC;2010;129;;;
43;RS;2010;436;;;
11;RO;2010;388;;;
24;RN;2010;633;;;
33;RJ;2010;3684;;;
41;PR;2010;670;;;
22;PI;2010;327;;;
26;PE;2010;3000;;;
25;PB;2010;1325;;;
15;PA;2010;3198;;;
51;MT;2010;722;;;
50;MS;2010;374;;;
31;MG;2010;2515;;;
21;MA;2010;1341;;;
32;ES;2010;1299;;;
53;DF;2010;680;;;
23;CE;2010;1711;;;
16;AP;2010;205;;;
13;AM;2010;980;;;
27;AL;2010;1696;;;
12;AC;2010;96;;;
23;CE;2011;1647;;;
12;AC;2011;99;;;
27;AL;2011;2013;;;
13;AM;2011;1131;;;
16;AP;2011;179;;;
29;BA;2011;4780;;;
