cod;nome;ano;valor;;
16;AP;1993;5;;
15;PA;1993;46;;
14;RR;1993;4;;
13;AM;1993;33;;
12;AC;1993;12;;
11;RO;1993;55;;
11;RO;1994;37;;
52;GO;1994;93;;
51;MT;1994;20;;
50;MS;1994;48;;
43;RS;1994;138;;
42;SC;1994;45;;
41;PR;1994;130;;
35;SP;1994;787;;
33;RJ;1994;491;;
32;ES;1994;108;;
31;MG;1994;170;;
29;BA;1994;180;;
28;SE;1994;32;;
27;AL;1994;48;;
26;PE;1994;191;;
25;PB;1994;28;;
24;RN;1994;19;;
23;CE;1994;59;;
22;PI;1994;10;;
21;MA;1994;24;;
17;TO;1994;13;;
16;AP;1994;16;;
15;PA;1994;59;;
14;RR;1994;6;;
13;AM;1994;27;;
12;AC;1994;11;;
53;DF;1994;50;;
11;RO;1994;37;;
53;DF;1994;50;;
52;GO;1994;93;;
51;MT;1994;20;;
50;MS;1994;48;;
43;RS;1994;138;;
42;SC;1994;45;;
41;PR;1994;130;;
35;SP;1994;787;;
33;RJ;1994;491;;
32;ES;1994;108;;
31;MG;1994;170;;
29;BA;1994;180;;
28;SE;1994;32;;
27;AL;1994;48;;
26;PE;1994;191;;
25;PB;1994;28;;
24;RN;1994;19;;
23;CE;1994;59;;
22;PI;1994;10;;
21;MA;1994;24;;
17;TO;1994;13;;
16;AP;1994;16;;
15;PA;1994;59;;
14;RR;1994;6;;
13;AM;1994;27;;
12;AC;1994;11;;
53;DF;1995;57;;
52;GO;1995;129;;
51;MT;1995;66;;
50;MS;1995;51;;
43;RS;1995;151;;
42;SC;1995;48;;
41;PR;1995;163;;
35;SP;1995;959;;
33;RJ;1995;587;;
32;ES;1995;123;;
31;MG;1995;145;;
29;BA;1995;165;;
28;SE;1995;27;;
27;AL;1995;62;;
26;PE;1995;205;;
25;PB;1995;66;;
24;RN;1995;30;;
23;CE;1995;55;;
22;PI;1995;19;;
21;MA;1995;40;;
17;TO;1995;5;;
16;AP;1995;11;;
15;PA;1995;59;;
14;RR;1995;8;;
13;AM;1995;42;;
12;AC;1995;16;;
11;RO;1995;37;;
11;RO;1995;37;;
12;AC;1995;16;;
13;AM;1995;42;;
14;RR;1995;8;;
15;PA;1995;59;;
16;AP;1995;11;;
17;TO;1995;5;;
21;MA;1995;40;;
22;PI;1995;19;;
